,timestamp,value,station_name,station_no,station_latitude,station_longitude
0,2010-02-01,47.8,Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
1,2010-02-01,99.6,Lukeston,327237,55.98447497,-4.240765022
2,2010-02-01,78.6,Saughall,115645,55.60098751,-4.226431521
3,2010-02-01,56.4,Luss Raingauge,129558,56.09892116,-4.638863963
4,2010-02-01,3.0,Bannockburn,14897,56.09528478,-3.911816854
5,2010-02-01,52.0,Lyne Station,14974,55.6473318263272,-3.25808918040462
6,2010-02-01,75.8,Waulkmill Glen,115660,55.79484353,-4.353627607
7,2010-02-01,54.2,Meadowfoot,115616,55.40534471,-3.799886702
8,2010-02-01,1.0,Baluniefield,374852,56.48264025,-2.905576117
9,2010-02-01,77.2,Ettrick Bay,115563,55.85650223,-5.145834193
10,2010-02-01,30.0,Merton Bank Lochmaben,115617,55.13494009,-3.439865821
11,2010-02-01,59.0,Dosmucheran,234202,57.59587318,-5.005770119
12,2010-02-01,67.8,Gladhouse Reservoir,15204,55.7784118,-3.117398754
13,2010-02-01,0.0,Milton of Evelix TBR,494729,57.8912874892072,-4.08416450338909
14,2010-02-01,49.4,Minnigaff,338429,54.9588823,-4.471659058
15,2010-02-01,0.0,Balfron STW,517412,56.0652344105772,-4.33334331797487
16,2010-02-01,76.2,Balmedie STW,115202,57.25007263,-2.0473803
17,2010-02-01,118.4,Saline,15155,56.12224003,-3.585958925
18,2010-02-01,91.2,Mill Croft,354623,57.2886568,-7.368331541
19,2010-02-01,0.0,Balgray RG,490985,55.73428872,-4.5878755
20,2010-02-01,0.0,Mill Of Gavel,205209,57.55561687,-2.009109628
21,2010-02-01,65.4,Millport,115618,55.74955539,-4.907441406
22,2010-02-01,113.4,Esslemont House,115221,57.36510966,-2.112363417
23,2010-02-01,70.8,Lingerton,133106,56.01244753,-5.422443562
24,2010-02-01,40.6,Forter,14948,56.76674681,-3.332205729
25,2010-02-01,66.4,Mongour,115235,57.00199506,-2.388582046
26,2010-02-01,0.0,Baintown Rain-gauge,501947,56.22101614,-3.042679056
27,2010-02-01,0.0,Eskdalemuir Observatory,15100,55.3115132595484,-3.20679877544895
28,2010-02-01,83.8,Weisdale Mill,116008,60.2593269,-1.288604022
29,2010-02-01,0.0,Drum,464646,56.18484641,-3.532323684
30,2010-02-01,86.2,Fife Airport,15151,56.1816502,-3.222449068
31,2010-02-01,38.2,Biggar Burn,368536,55.6503509335496,-3.54376527843482
32,2010-02-01,63.6,Tobermory,115654,56.62026156,-6.080645248
33,2010-02-01,107.6,Little Assynt,234264,58.1743810886208,-5.15230276806827
34,2010-02-01,28.0,Braco (Dunduff),15161,56.28192154,-3.904225732
35,2010-02-01,63.4,Loch Droma,115368,57.73309629,-4.936434641
36,2010-02-01,0.0,Bow Burn - WQMS,101227,55.44068058,-4.498633861
37,2010-02-01,79.0,Forsinain,115340,58.41100711,-3.873563607
38,2010-02-01,63.4,Loch Katrine,14910,56.22701614,-4.436245731
39,2010-02-01,35.6,Boreland,115518,55.20254702,-3.320073284
40,2010-02-01,107.4,Rothienorman,115239,57.40900118,-2.466784574
41,2010-02-01,71.4,Sgodachail,234305,57.8932766383122,-4.54697639942866
42,2010-02-01,100.0,Forehill,336372,57.50635026,-1.843281987
43,2010-02-01,62.6,Boleside,533744,55.5916432342931,-2.79887877404223
44,2010-02-01,31.0,Loch Venachar,14898,56.23425763,-4.256866368
45,2010-02-01,37.6,Moar,14949,56.57276553,-4.388958153
46,2010-02-01,72.2,Scardroy No3,347562,57.51892459,-4.985935657
47,2010-02-01,0.0,Lossiemouth,473167,57.71918475,-3.323337879
48,2010-02-01,53.8,Blackdyke Farm,115516,55.52935031,-4.326283061
49,2010-02-01,79.2,Letham Grange,338381,56.60403394,-2.609495534
50,2010-02-01,41.8,Tillicoultry,15158,56.148819,-3.7458095
51,2010-02-01,52.4,Braeroy Lodge,115315,56.98511362,-4.738585589
52,2010-02-01,0.0,Tarland WWTP,511327,57.1250488281981,-2.8514504640691
53,2010-02-01,108.2,Dippen,133077,55.58274848,-5.496523588
54,2010-02-01,44.4,Lochindorb North,336847,57.41478835,-3.691385645
55,2010-02-01,96.0,Blackhills No 2,115203,57.61017023,-3.222796593
56,2010-02-01,65.6,Waterside Perth,369554,56.89929851,-2.820760629
57,2010-02-01,0.0,Lochwinnoch,509677,55.7885315233721,-4.61894323306089
58,2010-02-01,64.0,Luib,115376,57.5445048,-5.123945869
59,2010-02-01,97.0,Dipple,115217,57.61125291,-3.115476523
60,2010-02-01,69.2,Wardend Bridge,234331,57.58239454,-3.608335401
61,2010-02-01,58.4,Low Creoch,115611,54.90352684,-4.18922643
62,2010-02-01,45.6,Flichity,115339,57.33128618,-4.221750189
63,2010-02-01,54.4,Birkie Hue,320371,58.16554218,-6.740713858
64,2010-02-01,0.0,Loch Restil,485489,56.23604254,-4.853369348
65,2010-02-01,50.4,Braidlie,133144,55.26142915,-2.824951121
66,2010-02-01,57.2,Loch Ailsh Level,354613,58.04827715,-4.855312073
67,2010-02-01,71.8,Dingwall,115329,57.5999202496956,-4.44699709665912
68,2010-02-01,113.4,Beltmoss,327235,55.98678855,-4.056528766
69,2010-02-01,100.6,Avochie,234161,57.50564634,-2.782377895
70,2010-02-01,73.6,East Kilbride,115560,55.75477386,-4.171759227
71,2010-02-01,0.0,Dunbar,15216,56.00371307,-2.52752897
72,2010-02-01,20.6,Polhollick,234294,57.05514629,-3.083180673
73,2010-02-01,50.6,Ormiston Mill,15007,55.5449192444277,-2.47331449245388
74,2010-02-01,37.6,Penwhapple Reservoir,335375,55.23585144,-4.747897404
75,2010-02-01,0.0,Pluscarden Abbey,486057,57.59946107,-3.433170424
76,2010-02-01,0.0,Dundreggan Rain Gauge,530175,57.1916154062172,-4.76763419920281
77,2010-02-01,62.0,Durkadale,234207,59.10852817,-3.232172832
78,2010-02-01,43.8,Perth Norwich Union,341345,56.38611935,-3.464092253
79,2010-02-01,46.2,Dunstaffnage,365257,56.45050242,-5.439870612
80,2010-02-01,85.2,Picketlaw Reservoir,115632,55.73611493,-4.281846657
81,2010-02-01,62.8,Allt Dearg House,115304,57.28490502,-6.187008123
82,2010-02-01,124.6,Amod Farm,115501,55.35009103,-5.717857841
83,2010-02-01,0.0,Badbea,518147,57.8624394131174,-5.31874666420385
84,2010-02-01,71.4,Amlaird,115500,55.66964373,-4.413260863
85,2010-02-01,69.4,Montrose,15078,56.69908575,-2.491155025
86,2010-02-01,124.0,Allnabad,234151,58.3471767644614,-4.64462101395753
87,2010-02-01,69.2,Ashgrove,115506,55.66308049,-4.757486092
88,2010-02-01,105.4,Polloch,234295,56.75844885,-5.613663683
89,2010-02-01,51.4,Allanfearn,115302,57.49914747,-4.151564133
90,2010-02-01,65.6,Rhian Bridge,115390,58.11499626,-4.439159665
91,2010-02-01,112.6,Polmonthill STW,15187,55.99776804,-3.680208641
92,2010-02-01,85.2,Alford,234170,57.24230294,-2.717123004
93,2010-02-01,3.2,The Lecht,115244,57.20200168,-3.249607166
94,2010-02-01,73.8,Whitburn,14881,55.87157334,-3.682936938
95,2010-02-01,41.8,Portling,115634,54.87093795,-3.744601282
96,2010-02-01,13.8,Portmoak,15149,56.19239436,-3.334726298
97,2010-02-01,118.4,Nunraw Abbey,15215,55.92185875,-2.653499917
98,2010-02-01,43.6,RhynieGS,368013,57.3317252,-2.828953912
99,2010-02-01,0.0,White Clauchrie,502874,55.1412921,-4.677220867
100,2010-02-01,107.8,Dunnswood STW (Cumbernauld),15180,55.97221885,-3.954505606
101,2010-02-01,32.8,Annfield,15198,56.06640057,-3.371633207
102,2010-02-01,133.6,Rhiconich,336217,58.42139172,-4.991227379
103,2010-02-01,33.2,Old Mill of Newton,367364,57.35801578,-2.577016947
104,2010-02-01,0.0,Westhill,115250,57.14756943,-2.291989375
105,2010-02-01,0.0,Einig Wood,492363,57.94421601,-4.764511928
106,2010-02-01,38.6,Mylnefield,335651,56.46017678,-3.075838089
107,2010-02-01,48.4,Nairn Dunbar Golf Course,341224,57.59406094,-3.842759406
108,2010-02-01,179.4,Monyquil Farm,133115,55.56419458,-5.271931931
109,2010-02-01,88.8,Ayton Castle,15132,55.8472764491842,-2.11461102258224
110,2010-02-01,72.0,New Kelso,234289,57.42953514,-5.429999168
111,2010-02-01,98.8,Mouthbridge,15022,55.770128146213,-2.27919326297828
112,2010-02-01,64.8,Drumjohn,115557,55.24992466,-4.32205779
113,2010-02-01,67.0,Ross Priory,133124,56.05257642,-4.55746111
114,2010-02-01,60.2,Rossie Farm,15070,56.29912602,-3.202717904
115,2010-02-01,66.8,Avonbank,322556,55.66347112,-4.051617294
116,2010-02-01,43.0,Eliock,115562,55.34583036,-3.899113859
117,2010-02-01,0.0,Muirshiel RG,490986,55.84918458,-4.742664896
118,2010-02-01,68.0,North Berwick (Kingston),335621,56.03149667,-2.734270572
119,2010-02-01,58.4,Muirkirk STW,115622,55.51335703,-4.096604222
120,2010-02-01,1.6,Nigg Headworks,335797,57.13140193,-2.061103972
121,2010-02-01,0.0,Baddinsgill Reservoir,15103,55.7838820984555,-3.39458495099376
122,2010-02-01,68.0,Murton,335650,56.65077608,-2.823539396
123,2010-02-01,44.0,Teviothead,14999,55.3422273375472,-2.9364812156604
124,2010-02-01,63.0,Newton of Falkland,15083,56.25431474,-3.186268594
125,2010-02-01,17.4,Auchentroig,15163,56.11221933,-4.342412217
126,2010-02-01,50.2,Newtonairds,115627,55.10134134,-3.742902191
127,2010-02-01,0.0,Corsock,336434,55.05876816,-3.945715778
128,2010-02-01,28.8,Auchinner,14964,56.31678388,-4.112254665
129,2010-02-01,0.0,Auchdergannach,491811,57.22063972,-3.651932222
130,2010-02-01,24.8,Auchnafree,14952,56.47302976,-3.904678161
131,2010-02-01,39.8,Drummore of Cantray,377134,57.48325079,-4.006176025
132,2010-02-01,173.2,Lecht Weather Station,412495,57.19821668,-3.25888009
133,2010-02-01,55.0,Brigton,115521,55.03779638,-4.566314357
134,2010-02-01,0.0,Laxdale,356217,57.86865846,-6.893581696
135,2010-02-01,4.8,Edinburgh RBG (Royal Botanic Garden),15201,55.9666233709368,-3.21231073711968
136,2010-02-01,107.8,Hatton No 2,115227,57.42757524,-1.909678484
137,2010-02-01,51.2,Luffness,14865,56.02022484,-2.821888561
138,2010-02-01,66.8,Strathy Bridge,234319,58.55872143,-4.002604762
139,2010-02-01,0.0,Comer Farm,552791,56.2015072327063,-4.60131037579935
140,2010-02-01,22.6,Hydro Gardens Moffat,115584,55.34214596,-3.452988353
141,2010-02-01,12.4,Tromie Bridge,234327,57.0717185,-3.998638147
142,2010-02-01,46.4,Inchvuilt,115354,57.40830735,-4.957620811
143,2010-02-01,77.6,Colliston,14921,56.61000991,-2.637841019
144,2010-02-01,26.8,Spey Dam,234315,57.01121062,-4.336367491
145,2010-02-01,47.6,Ingleston Farm,115585,54.81170556,-4.166358356
146,2010-02-01,69.4,Coille Mhorgil,115319,57.0643694,-5.134923813
147,2010-02-01,69.4,Inshes,336367,57.45203372,-4.184715941
148,2010-02-01,0.0,Gifford Rain Gauge,474984,55.89043578,-2.768969478
149,2010-02-01,48.0,Dalbeattie STW,115546,54.92152642,-3.821987578
150,2010-02-01,103.2,South Moorhouse,115649,55.73251416,-4.350287842
151,2010-02-01,48.2,Hatton (Perth),335640,56.52513594,-2.648539891
152,2010-02-01,58.8,Invermark,14926,56.91121364,-2.914811966
153,2010-02-01,28.4,Upper Monachlye,116007,56.39271229,-4.463706898
154,2010-02-01,65.8,St Monance,335620,56.2047855,-2.78271364
155,2010-02-01,0.0,Kirkcudbright Raingauge,504458,54.84543419,-4.038511682
156,2010-02-01,0.0,Comiston Rain Gauge,525510,55.9101940076868,-3.21598826974242
157,2010-02-01,69.6,Inverewe Garden,115356,57.77399694,-5.596995718
158,2010-02-01,35.0,Coignafearn,115318,57.23285188,-4.139289943
159,2010-02-01,16.4,Dalnamein,14960,56.79925858,-4.053453634
160,2010-02-01,13.0,Inverey,115230,56.98569953,-3.500915775
161,2010-02-01,0.0,Cleuchhead,499810,56.94774412,-2.388756894
162,2010-02-01,65.4,Dalmarnock STW,327234,55.8374507,-4.216965486
163,2010-02-01,59.8,Gilston,15114,55.80025456,-2.883463821
164,2010-02-01,86.8,Glen Strae,133088,56.42522107,-5.000795867
165,2010-02-01,79.4,Dallachy No 2,205724,57.66404417,-3.071018416
166,2010-02-01,78.6,Harperrig,15200,55.83652095,-3.435270947
167,2010-02-01,45.4,Townfoot (Glencaple),323188,54.99473579,-3.568993615
168,2010-02-01,63.6,Strathkinness,11368,56.33136897,-2.863918962
169,2010-02-01,48.0,Glenbreck,368490,55.4820219628409,-3.47775472797171
170,2010-02-01,26.4,Glenmuick No2,367371,56.95161175,-3.141253355
171,2010-02-01,0.0,Hunterston Terminal,469625,55.74447583,-4.86116797
172,2010-02-01,0.0,High Corrie (Gartmore),15166,56.1262023,-4.446294544
173,2010-02-01,37.6,Glenmore Lodge No 2,115225,57.16421784,-3.677609728
174,2010-02-01,68.0,Craigdarroch,115541,55.196659,-3.981943267
175,2010-02-01,53.2,Torwinny,234326,57.52198313,-3.446843553
